,Yields,RXN,Origin,Mechanism,DOI,Substrate
10,6.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>C1OCCC1.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
11,69.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
12,86.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
13,83.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
14,86.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
15,92.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
16,93.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
17,92.0,COc1ccc2ccccc2c1.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
18,94.0,COc1ccc2ccccc2c1.Cc1ccccc1[Li]>c1ccccc1C.[Ni].>Cc1ccccc1c3ccc2ccccc2c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
19,72.0,COc1ccc2ccccc2c1.Cc1cc(C)c([Li])c(C)c1>c1ccccc1C.[Ni].>Cc3cc(C)c(c2ccc1ccccc1c2)c(C)c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
20,95.0,COc1ccc2ccccc2c1.CC(C)(C)c1ccc([Li])cc1>c1ccccc1C.[Ni].>CC(C)(C)c3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
21,92.0,COc1ccc2ccccc2c1.COc1ccc([Li])cc1>c1ccccc1C.[Ni].>COc3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
22,88.0,COc1ccc2ccccc2c1.CC(C)(C)[Si](C)(C)Oc1ccc([Li])cc1>c1ccccc1C.[Ni].>CC(C)(C)[Si](C)(C)Oc3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
23,84.0,COc1ccc2ccccc2c1.COCOc1ccccc1[Li]>c1ccccc1C.[Ni].>COCOc1ccccc1c3ccc2ccccc2c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
24,90.0,COc1ccc2ccccc2c1.CN(C)c3ccc([Li])cc3>c1ccccc1C.[Ni].>CN(C)c3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
25,94.0,COc1ccc2ccccc2c1.[Li]c1cccc2ccccc12>c1ccccc1C.[Ni].>c4ccc3cc(c1cccc2ccccc12)ccc3c4,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
26,73.0,COc1ccc2ccccc2c1.C[Si](C)(C)Oc3ccc([Li])cc3>c1ccccc1C.[Ni].>C[Si](C)(C)Oc3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
27,72.0,COc1ccc2ccccc2c1.CC(C)(C)[Si](C)(C)Oc3cccc([Li])c3>c1ccccc1C.[Ni].>CC(C)(C)[Si](C)(C)Oc3cccc(c2ccc1ccccc1c2)c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
28,73.0,COc1ccc2ccccc2c1.Cn1cccc1[Li]>c1ccccc1C.[Ni].>Cn1cccc1c3ccc2ccccc2c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
29,90.0,COc1ccc2ccccc2c1.Cn1c([Li])cc4ccccc41>c1ccccc1C.[Ni].>Cn1c(c2ccc3ccccc3c2)cc4ccccc41,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
30,93.0,COc1ccc2ccccc2c1.Cn4ccc3ccc([Li])cc34>c1ccccc1C.[Ni].>Cn1ccc2ccc(c3ccc4ccccc4c3)cc21,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
31,91.0,COc1ccc2ccccc2c1.CCn5c1ccccc1c4ccc([Li])cc45>c1ccccc1C.[Ni].>CCn1c2ccccc2c3ccc(c4ccc5ccccc5c4)cc31,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
32,35.0,COc1ccc2ccccc2c1.[Li]C=CCCCCCCCC>c1ccccc1C.[Ni].>CCCCCCCC/C=C/c1ccc2ccccc2c1,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
33,85.0,COc1ccc2ccccc2c1.[Li]C1CCCCC=1>c1ccccc1C.[Ni].>C1=C(c2ccc3ccccc3c2)CCCC1,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
34,76.0,COc1ccc2ccccc2c1.[Li](C1CC1)>c1ccccc1C.[Ni].>c1ccc2cc(C3CC3)ccc2c1,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
35,88.0,COc1ccc2ccccc2c1.[Li]C>c1ccccc1C.[Ni].>Cc2ccc1ccccc1c2,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc2ccccc2c1
36,92.0,C[Si](C)(C)c2ccc1cc(OC)ccc1c2.[Li]c1ccccc1>c1ccccc1C.[Ni].>C[Si](C)(C)c3ccc2cc(c1ccccc1)ccc2c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)c2ccc1cc(OC)ccc1c2
37,72.0,COc3ccc2cc(N1CCCCC1)ccc2c3.[Li]c1ccccc1>c1ccccc1C.[Ni].>c4ccc(c3ccc2cc(N1CCCCC1)ccc2c3)cc4,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc3ccc2cc(N1CCCCC1)ccc2c3
38,89.0,Oc2ccc1ccc(OC)cc1c2.[Li]c1ccccc1>c1ccccc1C.[Ni].[Li]C.>Oc3ccc2ccc(c1ccccc1)cc2c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,Oc2ccc1ccc(OC)cc1c2
39,90.0,c2ccc1cccc(OC)c1c2.COc1ccc([Li])cc1>c1ccccc1C.[Ni].>COc3ccc(c1cccc2ccccc12)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,c2ccc1cccc(OC)c1c2
40,85.0,COc2ccc1ccc(OC)cc1c2.Cc1ccccc1[Li]>c1ccccc1C.[Ni].>Cc1ccccc1c4ccc3ccc(c2c(C)cccc2)cc3c4,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc2ccc1ccc(OC)cc1c2
41,30.0,COc1ccc(C)cc1.CN(C)c3ccc([Li])cc3>c1ccccc1C.[Ni].>Cc2ccc(c1ccc(N(C)C)cc1)cc2,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc(C)cc1
42,86.0,COc1ccc([C@@H](C)N(C)C)cc1.Cc1ccccc1[Li]>c1ccccc1C.[Ni].>Cc1ccccc1c2ccc([C@@H](C)N(C)C)cc2,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc([C@@H](C)N(C)C)cc1
43,88.0,COc1ccc([C@H](C)N(C)C)cc1.Cc1ccccc1[Li]>c1ccccc1C.[Ni].>Cc1ccccc1c2ccc([C@H](C)N(C)C)cc2,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc([C@H](C)N(C)C)cc1
44,85.0,COc1ccc(CO)cc1.Cc1ccccc1[Li]>c1ccccc1C.[Ni].[Li]C.>Cc1ccccc1c2ccc(CO)cc2,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc(CO)cc1
45,86.0,COc1ccc(CCO)cc1.Cc1ccccc1[Li]>c1ccccc1C.[Ni].[Li]C.>Cc1ccccc1c2ccc(CCO)cc2,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc(CCO)cc1
46,51.0,COc2ccc1ncccc1c2.CN(C)c1ccc([Li])cc1>c1ccccc1C.[Ni].>CN(C)c3ccc(c2ccc1ncccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc2ccc1ncccc1c2
47,40.0,COc2ccc1c(ccn1C)c2.Cc1ccccc1[Li]>c1ccccc1C.[Ni].>Cc1ccccc1c3ccc2c(ccn2C)c3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc2ccc1c(ccn1C)c2
48,41.0,COc1ccc3c(c1)c2ccccc2n3C.Cc1ccccc1[Li]>c1ccccc1C.[Ni].>Cc1ccccc1c2ccc4c(c2)c3ccccc3n4C,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,COc1ccc3c(c1)c2ccccc2n3C
49,78.0,CCOc2ccc1ccccc1c2.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,CCOc2ccc1ccccc1c2
50,77.0,CC(C)Oc2ccc1ccccc1c2.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,CC(C)Oc2ccc1ccccc1c2
51,0.0,C[Si](C)(C)Oc2ccc1ccccc1c2.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
52,71.0,CC(C)(C)[Si](C)(C)Oc2ccc1ccccc1c2.[Li]c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Murahashi,https://doi.org/10.1002/chem.201603436,CC(C)(C)[Si](C)(C)Oc2ccc1ccccc1c2
53,60.0,C[Si](C)(C)Oc2ccc1ccccc1c2.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
54,64.0,C[Si](C)(C)Oc2ccc1ccccc1c2.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
55,51.0,CC[Si](C)(C)Oc2ccc1ccccc1c2.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,CC[Si](C)(C)Oc2ccc1ccccc1c2
56,53.0,CC(C)[Si](C)(C)Oc2ccc1ccccc1c2.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,CC(C)[Si](C)(C)Oc2ccc1ccccc1c2
57,65.0,CC(C)(C)[Si](C)(C)Oc2ccc1ccccc1c2.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,CC(C)(C)[Si](C)(C)Oc2ccc1ccccc1c2
58,61.0,C[Si](C)(Oc2ccc1ccccc1c2)c3ccccc3.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(Oc2ccc1ccccc1c2)c3ccccc3
59,54.0,CC[Si](CC)(CC)Oc2ccc1ccccc1c2.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,CC[Si](CC)(CC)Oc2ccc1ccccc1c2
60,0.0,C=CC[Si](C)(C)Oc2ccc1ccccc1c2.C[Zn](C)(C)([Li])([Li])c1ccccc1>c1ccccc1C.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C=CC[Si](C)(C)Oc2ccc1ccccc1c2
61,32.0,C[Si](C)(C)Oc2ccc1ccccc1c2.Cc1ccccc1[Zn](C)(C)(C)([Li])[Li]>c1ccccc1C.[Ni].>Cc1ccccc1c3ccc2ccccc2c3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
62,68.0,C[Si](C)(C)Oc2ccc1ccccc1c2.Cc1cccc([Zn](C)(C)(C)([Li])[Li])c1>c1ccccc1C.[Ni].>Cc3cccc(c2ccc1ccccc1c2)c3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
63,67.0,C[Si](C)(C)Oc2ccc1ccccc1c2.Cc1ccc([Zn](C)(C)(C)([Li])[Li])cc1>c1ccccc1C.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
64,70.0,C[Si](C)(C)Oc2ccc1ccccc1c2.COc1ccc([Zn](C)(C)(C)([Li])[Li])cc1>c1ccccc1C.[Ni].>COc3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
65,57.0,C[Si](C)(C)Oc2ccc1ccccc1c2.COc1ccc([Zn](C)(C)(C)([Li])[Li])cc1>c1ccccc1C.[Ni].>COc3ccc(c2ccc1ccccc1c2)cc3,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
66,53.0,C[Si](C)(C)Oc2ccc1ccccc1c2.CC(C)N(C(=O)c1ccc([Zn](C)(C)(C)([Li])[Li])cc1)C(C)C>c1ccccc1C.[Ni].>CC(C)N(C(=O)c3ccc(c2ccc1ccccc1c2)cc3)C(C)C,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
67,66.0,C[Si](C)(C)Oc2ccc1ccccc1c2.c2ccc1ccccc1c2[Zn](C)(C)(C)([Li])([Li])>c1ccccc1C.[Ni].>c4ccc3cc(c1cccc2ccccc12)ccc3c4,Scope,Negishi,https://doi.org/10.1002/chem.201603436,C[Si](C)(C)Oc2ccc1ccccc1c2
68,88.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
69,0.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
70,0.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
71,0.0,COc2ccc1ccccc1c2.Cc1ccc(Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
72,65.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
73,0.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
74,0.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
75,82.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
76,87.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
77,0.0,COc2ccc1ccccc1c2.Cc1ccc([Zn]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
78,0.0,COc2ccc1ccccc1c2.Cc1ccc(Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
79,0.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>c1ccccc1C.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
80,88.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Cl)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
81,88.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]I)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Optimisation,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
82,98.0,CC(C)Oc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,CC(C)Oc2ccc1ccccc1c2
83,79.0,CC(C)(C)C(=O)Oc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,CC(C)(C)C(=O)Oc2ccc1ccccc1c2
84,94.0,CN(C)C(=O)Oc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,CN(C)C(=O)Oc2ccc1ccccc1c2
85,87.0,COc2ccc1ccccc1c2.c1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>c3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
86,95.0,COc2ccc1ccccc1c2.CC(C)c1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>C(C)(C)c3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
87,96.0,COc2ccc1ccccc1c2.CC(C)(C)c1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>C(C)(C)(C)c3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
88,95.0,COc2ccc1ccccc1c2.Cc1cc([Mg]Br)ccc1>C1OCCC1.[Ni].>c3c(C)cc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
89,58.0,COc2ccc1ccccc1c2.Cc1c([Mg]Br)cccc1>C1OCCC1.[Ni].>c3cc(C)c(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
90,72.0,COc2ccc1ccccc1c2.COc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>COc3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
91,85.0,COc2ccc1ccccc1c2.CN(C)c1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>CN(C)c3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
92,96.0,COc2ccc1ccccc1c2.c1c(C)cc([Mg]Br)cc1(C)>C1OCCC1.[Ni].>c3c(C)cc(c2ccc1ccccc1c2)cc3(C),Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
93,81.0,COc2ccc1ccccc1c2.c1c(OC)cc([Mg]Br)cc1(OC)>C1OCCC1.[Ni].>c3c(OC)cc(c2ccc1ccccc1c2)cc3(OC),Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
94,0.0,COc2ccc1ccccc1c2.FC(F)(F)c1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>FC(F)(F)c3ccc(c2ccc1ccccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
95,83.0,COc2ccc1ccccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1cc(C)ccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1ccccc1c2
96,68.0,COc2ccc1cc(C4CC4)ccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1cc(C4CC4)ccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,COc2ccc1cc(C4CC4)ccc1c2
97,95.0,c2(OC)ccc1cc(CCCCOC)ccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1cc(CCCCOC)ccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,c2(OC)ccc1cc(CCCCOC)ccc1c2
98,82.0,c2(OC)ccc1cc(c3ccccc3)ccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1cc(c4ccccc4)ccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,c2(OC)ccc1cc(c3ccccc3)ccc1c2
99,53.0,c2(OC)ccc1cc(O[Si](C)(C)C)ccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1cc(O[Si](C)(C)C)ccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,c2(OC)ccc1cc(O[Si](C)(C)C)ccc1c2
100,79.0,c2(OC)ccc1cc(N3CCCC3)ccc1c2.Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1cc(N4CCCC4)ccc1c2)cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,c2(OC)ccc1cc(N3CCCC3)ccc1c2
101,33.0,c2(OC)ccc1ccccc1c2(C).Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2(C))cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,c2(OC)ccc1ccccc1c2(C)
102,33.0,c2(OC)ccc1ccccc1c2(C).Cc1ccc([Mg]Br)cc1>C1OCCC1.[Ni].>Cc3ccc(c2ccc1ccccc1c2(C))cc3,Scope,Kumada,https://doi.org/10.1021/acs.orglett.6b02656,c2(OC)ccc1ccccc1c2(C)
