,rxn_smarts
22,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
23,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Na+].[O-]C(=O)=O>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
24,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
25,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
26,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
27,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
28,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
29,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
30,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
31,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
32,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
33,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
34,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
35,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Cs+].[F-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
36,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
37,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
38,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
39,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
40,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
41,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
42,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
43,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
44,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
45,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
46,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
47,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[K+].[K+].[K+].[O-]P(=O)([O-])[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
48,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
49,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
50,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
51,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
52,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
53,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
54,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
55,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
56,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
57,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
58,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
59,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[K+].[O-]>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
60,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
61,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
62,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
63,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
64,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
65,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
66,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
67,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
68,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
69,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
70,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
71,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.[Li+].[O-]C(C)(C)C>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
72,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
73,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
74,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
75,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1CCCCC1P(C1CCCCC1)C1CCCCC1.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
76,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC(C)=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
77,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
78,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
79,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
80,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c2ccccc2P(C3CCCCC3)C4CCCCC4.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
81,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
82,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(cccc15)P(c6ccccc6)c7ccccc7.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
83,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>.CCN(CC)CC>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
84,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>CC(C)(C)P(C(C)(C)C)C(C)(C)C).>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
85,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1.>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
86,C1=CC2=C(C=CC(=C2)Cl)N=C1.Cc3ccc1c(cnn1C2CCCCO2)c3B(O)O>C1=C(N(C)C)C=CC=C1P(C(C)(C)C)C(C)(C)C).>Cc3ccc1c(cnn1C2CCCCO2)c3c1ccc2ncccc2c1
