,rxn_smarts
10,ClC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.FC(C=CC=C1F)=C1C2=CC=NO2.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CN=CC=C2)C=C1
11,ClC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.C1(C2=CC=CC=C2)=NOC=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CN=CC=C2)C=C1
12,ClC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.O=C(OC)C1=NOC(C2=CC=CS2)=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
13,ClC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.CC1=NOC(C2=CC=CC=C2)=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
14,BrC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=NOC=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=NC=CC=C2)C=C1
15,ClC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.O=C(OC)C1=NOC(C2=CC=CO2)=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CN=CC=C2)C=C1
16,IC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CC1=C(C(OCC)=O)C=NO1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CN=CC=C2)C=C1
17,ClC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=NOC=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=NC=CC=C2)C=C1
18,IC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CC1=NOC(C2=CC=CC=C2)=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
19,BrC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.COC1=NOC(C(OCC)=O)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
20,BrC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=NOC=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=NC=CC=C2)C=C1
21,IC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=NO1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
22,BrC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.CCOC(C1=NOC=C1)=O.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CN=CC=C2)C=C1
23,ClC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.O=C(OC)C1=NOC(C2=CC=CO2)=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
24,BrC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.O=C(OC)C1=CC=NO1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=NC=CC=C2)C=C1
25,IC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=NO1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
26,BrC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CC1=CC=NO1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=NC=CC=C2)C=C1
27,IC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.CC1=NOC=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=NC=CC=C2)C=C1
28,IC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.CC1=NOC(C(OCC)=O)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=NC=CC=C2)C=C1
29,IC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.COC1=NOC(C(OCC)=O)=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CN=CC=C2)C=C1
30,BrC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.CCOC(C1=NOC=C1)=O.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
31,BrC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.O=C(OC)C1=NOC(C2=CC=CO2)=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=NC=CC=C2)C=C1
32,ClC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CC1=CC(C(OCC)=O)=NO1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
33,IC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=NOC=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
34,BrC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.FC(C=CC=C1F)=C1C2=CC=NO2.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CN=CC=C2)C=C1
35,IC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.C1(C2=CC=CC=C2)=NOC=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
36,ClC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.C12=CON=C1C=CC=C2.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
37,IC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.O=C(OC)C1=NOC(C2=CC=CS2)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CN=CC=C2)C=C1
38,BrC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.CC1=CC(N2C=CC=C2)=NO1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
39,ClC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.O=C(OC)C1=NOC(C2=CC=CO2)=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
40,IC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.C1(C2=CC=CC=C2)=NOC=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
41,IC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.CC1=NOC(C(OCC)=O)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
42,IC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.C1(C2=CC=CC=C2)=CC=NO1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=NC=CC=C2)C=C1
43,BrC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.CC1=CC(C(OCC)=O)=NO1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
44,IC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.CC1=CC(N2C=CC=C2)=NO1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
45,ClC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.CC1=NOC=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
46,BrC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.CCOC(C1=NOC=C1)=O.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CN=CC=C2)C=C1
47,IC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CC1=CC(C)=NO1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CN=CC=C2)C=C1
48,IC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.C12=C(C=CC=C2)ON=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CN=CC=C2)C=C1
49,IC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CC1=CC(N2C=CC=C2)=NO1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
50,IC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.O=C(OC)C1=NOC(C2=CC=CS2)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
51,IC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.O=C(OC)C1=NOC(C2=CC=CO2)=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
52,IC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.CC1=NOC(C(OCC)=O)=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
53,BrC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.CC1=NOC(C(OCC)=O)=C1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CN=CC=C2)C=C1
54,IC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.CC1=NOC=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
55,IC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.CC1=NOC(C(OCC)=O)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=NC=CC=C2)C=C1
56,IC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CCOC(C1=CON=C1)=O.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
57,BrC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.CC1=NOC(C2=CC=CC=C2)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
58,IC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.O=C(OC)C1=NOC(C2=CC=CO2)=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
59,ClC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2.CC1=CC=NO1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
60,BrC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.CC1=CC(C)=NO1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
61,BrC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.CC1=NOC=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
62,IC1=NC=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.C1(C2=CC=CC=C2)=CON=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=NC=CC=C2)C=C1
63,IC1=CC=C(C(F)(F)F)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.O=C(OC)C1=NOC(C2=CC=CS2)=C1.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
64,BrC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.C12=CON=C1C=CC=C2.CN1CCCN2C1=NCCC2>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
65,ClC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.CC1=NOC(C2=CC=CC=C2)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
66,IC1=CC=C(CC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC.O=C(OC)C1=CC=NO1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(CC)C=C2)C=C1
67,IC1=CC=C(OC)C=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C=CC=C2.CC1=NOC(C(OCC)=O)=C1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC>CC1=CC=C(C2=CC=C(OC)C=C2)C=C1
68,ClC1=CN=CC=C1.CC1=CC=C(N)C=C1>CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P([C@@]3(C[C@@H]4C5)C[C@H](C4)C[C@H]5C3)[C@]6(C7)C[C@@H](C[C@@H]7C8)C[C@@H]8C6)C(OC)=CC=C2OC.C1(C2=CC=CC=C2)=CC=NO1.CC(C)(C)/N=C(N(C)C)/N(C)C>CC1=CC=C(C2=CN=CC=C2)C=C1
